dataset,method,device,recall@10,ndcg@10,recall@20,ndcg@20,path
Goodreads,baseline,cuda,0.12971143424510956,0.06617403030395508,0.17652034759521484,0.07799315452575684,reports/crds_step500_failure/eval_results/Goodreads_baseline_step500_saved.json
Goodreads,crds_full_cuda,cuda,0.12388382107019424,0.06399913877248764,0.16702698171138763,0.07484003901481628,reports/crds_step500_failure/eval_results/Goodreads_crds_full_step500_saved.json
Goodreads,crds_full_cpu_backup,cpu,0.12529373168945312,0.06471024453639984,0.17182065546512604,0.07648630440235138,reports/crds_step500_failure/eval_results/Goodreads_crds_full_step500_saved_cpu.json
Goodreads,crds_weak,cuda,0.12425979971885681,0.06430575251579285,0.1698467880487442,0.07583502680063248,reports/crds_step500_failure/eval_results/Goodreads_crds_weak_step500_saved.json
Goodreads,crds_weak_fewer_neg,cuda,0.12642166018486023,0.0648939311504364,0.16928282380104065,0.07569608092308044,reports/crds_step500_failure/eval_results/Goodreads_crds_weak_fewer_neg_step500_saved.json
Goodreads,crds_no_transition,cuda,0.12303788214921951,0.0639135017991066,0.17304258048534393,0.07648150622844696,reports/crds_step500_failure/eval_results/Goodreads_crds_no_transition_step500_saved.json
Goodreads,no_cooccurrence,cuda,0.12632766366004944,0.06493478268384933,0.17323057353496552,0.07673951238393784,reports/crds_step500_failure/eval_results/Goodreads_no_cooccurrence_step500_saved.json
Games_5core,baseline,cuda,0.08686288446187973,0.05429445579648018,0.11348952353000641,0.06103616952896118,reports/crds_step500_failure/eval_results/Games_5core_baseline_step500_saved.json
Games_5core,crds_full,cuda,0.08477452397346497,0.05376629903912544,0.11009593307971954,0.06016232445836067,reports/crds_step500_failure/eval_results/Games_5core_crds_full_step500_saved.json
Games_5core,crds_weak,cuda,0.08581870049238205,0.050328340381383896,0.11185798794031143,0.056925855576992035,reports/crds_step500_failure/eval_results/Games_5core_crds_weak_step500_saved.json
Games_5core,crds_weak_fewer_neg,cuda,0.08614501357078552,0.0520096980035305,0.11316321790218353,0.05884496122598648,reports/crds_step500_failure/eval_results/Games_5core_crds_weak_fewer_neg_step500_saved.json
Games_5core,crds_no_transition,cuda,0.084578737616539,0.051625002175569534,0.1127716526389122,0.05871834233403206,reports/crds_step500_failure/eval_results/Games_5core_crds_no_transition_step500_saved.json
Games_5core,no_cooccurrence,cuda,0.08483978360891342,0.0533209890127182,0.10800757259130478,0.05914968624711037,reports/crds_step500_failure/eval_results/Games_5core_no_cooccurrence_step500_saved.json
Movies_5core,baseline,cuda,0.06594372540712357,0.04185648262500763,0.08177022635936737,0.045863863080739975,reports/crds_step500_failure/eval_results/Movies_5core_baseline_step500_saved.json
Movies_5core,crds_full,cuda,0.06528428941965103,0.04094898700714111,0.0825762003660202,0.04532397538423538,reports/crds_step500_failure/eval_results/Movies_5core_crds_full_step500_saved.json
Movies_5core,crds_weak,cuda,0.06609027087688446,0.041754405945539474,0.0805978924036026,0.04541773349046707,reports/crds_step500_failure/eval_results/Movies_5core_crds_weak_step500_saved.json
Movies_5core,crds_weak_fewer_neg,cuda,0.06740914285182953,0.04232475534081459,0.08191676437854767,0.045999784022569656,reports/crds_step500_failure/eval_results/Movies_5core_crds_weak_fewer_neg_step500_saved.json
Movies_5core,crds_no_transition,cuda,0.06880129128694534,0.0430290661752224,0.08177022635936737,0.04630237817764282,reports/crds_step500_failure/eval_results/Movies_5core_crds_no_transition_step500_saved.json
Movies_5core,no_cooccurrence,cuda,0.06755568832159042,0.04233959689736366,0.0828692838549614,0.04620687663555145,reports/crds_step500_failure/eval_results/Movies_5core_no_cooccurrence_step500_saved.json
